"code","description","season_start","season_end","time_max_parking","time_start","time_end","time_duration","lun","mar","mer","jeu","ven","sam","dim","daily","special_days","restrict_typ"
"SB-LL-A","\P 07h-08h LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,7,8,1,1,,1,,,,,,,
"SB-LL-A+F","\P 07h-08h LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,7,8,1,1,,1,,,,,,,
"SB-LM-A","\P 13h30-14h30 LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,"13.5","14.5",1,1,,1,,,,,,,
"SB-LR","\P 16h-17h LUN. MER. 1 MARS AU 1 DEC.",03-01,12-01,,16,17,1,1,,1,,,,,,,
"SB-LR-A","\P 16h-17h LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,16,17,1,1,,1,,,,,,,
"SB-LS","\P 13h-14h LUN. MER. 1 MARS AU 1 DEC.",03-01,12-01,,13,14,1,1,,1,,,,,,,
"SB-LT-A","\P 14h-15h LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,14,15,1,1,,1,,,,,,,
"SB-LU-A","\P 17h30-18h30 LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,"17.5","18.5",1,1,,1,,,,,,,
"SB-LU-A+F","\P 17h30-18h30 LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,"17.5","18.5",1,1,,1,,,,,,,
"SB-LV","\P 07h30-08h30 LUN. MER. 1 MARS AU 1 DEC.",03-01,12-01,,"7.5","8.5",1,1,,1,,,,,,,
"SB-LV-A","\P 07h30-08h30 LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,"7.5","8.5",1,1,,1,,,,,,,
"SB-MA","\P 08h-09h MAR. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,8,9,1,,1,,1,,,,,,
"SB-MA-A","\P 08h-09h MAR. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,8,9,1,,1,,1,,,,,,
"SB-MA-A+F","\P 08h-09h MAR. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,8,9,1,,1,,1,,,,,,
