name,operator,address,description,lun_normal,mar_normal,mer_normal,jeu_normal,ven_normal,sam_normal,dim_normal,hourly_normal,daily_normal,max_normal,lun_special,mar_special,mer_special,jeu_special,ven_special,sam_special,dim_special,hourly_special,daily_special,max_special,lun_free,mar_free,mer_free,jeu_free,ven_free,sam_free,dim_free,indoor,handicap,card,valet,lat,long,capacity,street_view_lat,street_view_long,street_view_head,active
Les Jardins Du Vallon,Vinci,"2310, avenue Chapdelaine",,"0,24","0,24","0,24","0,24","0,24",,,2,9,,,,,,,"0,24","0,24",2,9,,,,,,,,,FALSE,FALSE,TRUE,FALSE,46.787633,-71.280504,325,46.787633,-71.280504,0,TRUE
2371-2373-2375 rue Nicolas-Pinel,Vinci,"2375, rue Nicolas-Pinel",,"0,24","0,24","0,24","0,24","0,24",,,3,9,,,,,,,"0,24","0,24",3,5,,,,,,,,,FALSE,FALSE,TRUE,FALSE,46.786976,-71.284136,124,46.786976,-71.284136,0,TRUE
EVO Sherbrooke,Vinci,"420, rue Sherbrooke Ouest ",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",8,20,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.50674,-73.571013,365,45.50674,-73.571013,0,TRUE
1424 Peel,Vinci,"1424, rue Peel ",,"0,24","0,24","0,24","0,24","0,24",,,14.25,22,,,,,,,"0,24","0,24",10,10,,,,,,,,,FALSE,FALSE,TRUE,TRUE,45.500919,-73.572996,30,45.500919,-73.572996,0,TRUE
INRS,Vinci,"490, rue de la Couronne",,"0,24","0,24","0,24","0,24","0,24",,,5,14,,,,,,,"0,24","0,24",5,6,,,,,,,,,TRUE,TRUE,TRUE,FALSE,46.812639,-71.224195,303,46.812639,-71.224195,0,TRUE
1600 René Lévesque West,Vinci,"1600, boulevard René-Lévesque Ouest",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",9,20,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.493015,-73.573831,150,45.493015,-73.573831,0,TRUE
Ilot 10,Vinci,100 rue Peel,,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",8,23,,,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.49271,-73.557101,200,45.49271,-73.557101,0,TRUE
EVO Vieux-Montréal,Vinci,"777, boulevard Robert-Bourassa",,"0,24","0,24","0,24","0,24","0,24",,,7,18,,,,,,,"0,24","0,24",10,10,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.500697,-73.561214,200,45.500697,-73.561214,0,TRUE
Queen Elizabeth Health Centre,Vinci,"2074, avenue Northcliffe",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",9,14,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,45.473664,-73.606216,125,45.473664,-73.606216,0,TRUE
7250 Mile-End,Vinci,"7250, rue du Mile-End",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.531491,-73.621864,200,45.531491,-73.621864,0,TRUE
140 Grande-Allée Est,Vinci,"140, Grande-Allée Est",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",4,16,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,46.803307,-71.223041,385,46.803307,-71.223041,0,TRUE
Monastère des Augustines,Vinci,"75, rue des Remparts",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",4,16,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,TRUE,46.816051,-71.21032,38,46.816051,-71.21032,0,TRUE
1363 avenue Maguire,Vinci,"1363, avenue Maguire",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",1.75,14,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,46.780241,-71.25102,31,46.780241,-71.25102,0,TRUE
La Jetée,Vinci,"150, rue Dalhousie",,"17,24","17,24","17,24","17,24","17,24","0,24","0,24",4,12,,"0,7","0,7","0,7","0,7","0,7",,,4,12,,,,,,,,,FALSE,FALSE,TRUE,FALSE,46.817812,-71.203009,28,46.817812,-71.203009,0,TRUE
990 de Bourgogne,Vinci,"990, avenue de Bourgogne",,"6,18","6,18","6,18","6,18","6,18",,,4,10,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,46.765139,-71.311069,250,46.765139,-71.311069,0,TRUE
Marriott Spring HIlls,Vinci,"445, rue Saint-Jean-Baptiste",,"6,24","6,24","6,24","6,24","6,24","0,24","0,24",9,20,,"0,2","0,2","0,2","0,2","0,2",,,9,20,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.506438,-73.554764,110,45.506438,-73.554764,0,TRUE
